,User,Date Created,Number of Likes,Source of Tweet,Tweet
25,Val Jean,2023-02-01 14:56:36+00:00,0,Twitter for iPad,"RT @RafikSmati: Alors que 2 TER sur 10 circulent aujourd'hui, les syndicats de la SNCF ne voudraient surtout pas que l'on sache que 65% (!)…"
26,Christine 🦥😷💉💉💉💉💉,2023-02-01 14:56:25+00:00,0,Twitter for Android,@blogdecathy @audic_caroline Mais je suis totalement d'accord. Mais là on parlait du régime spéciale de la SNCF.
27,L'œil ouvert 🇨🇵🇺🇦,2023-02-01 14:56:12+00:00,0,Twitter Web App,"RT @BFMTV: 🔴 EN DIRECT
Retraites: Olivier Dussopt affirme que ""le scénario du retrait"" de la réforme entraînerait le recul de la pension de…"
28,François Pacoureau 🇪🇺 🇨🇵,2023-02-01 14:56:11+00:00,0,Twitter Web App,"RT @BFMTV: 🔴 EN DIRECT
Gabriel Attal aux syndicats: ""si vous continuez à vous mobiliser, continuez à le faire en respectant les Français qu…"
29,JHM,2023-02-01 14:55:07+00:00,0,Twitter for Android,@LIGNEJ_SNCF Attention au crêpage de chignon!!
30,Just-ouam,2023-02-01 14:54:40+00:00,0,Twitter for Android,@RERD_SNCF Bonjour je suis nouveau sur le fil du coup je me demande plus la ligne connaît des difficultés plus la p… https://t.co/X3rhG6ItZP
31,SNCF TER SUD Provence-Alpes-Côte d’Azur,2023-02-01 14:54:38+00:00,0,Twitter Web App,"[#CompoTER 🚉 ]

👉🏼 Voici vos #SNCFTERSUD en composition longue sur la #CotedAzur ce soir. https://t.co/xBWRq5iEiR"
32,Philippe BEAS,2023-02-01 14:54:30+00:00,0,Twitter Web App,"@lignesNetU_SNCF
 
Pouvez vous venir en DM SVP

Merci d'avance."
33,Chat chauffe ⚡,2023-02-01 14:54:13+00:00,0,Twitter Web App,"Péages, Livret A, prix de l'électricité, billets SNCF: ce qui change au 1er février 2023 https://t.co/rm8xEXpS5M via @bfmbusiness"
34,Ligne P,2023-02-01 14:53:51+00:00,0,Twitter Web App,"@hihan089 Bonjour, ce train circule actuellement avec +5 minutes en raison de distances de sécurité à respecter."
35,HopiHobi,2023-02-01 14:53:51+00:00,0,Twitter for iPhone,RT @OnWarlord: @ChrisGames_ Vous avez vérifié sous le train ? Non parce que la SNCF quand y'as un être vivant sur les rails ils continuent…
36,Fato,2023-02-01 14:53:44+00:00,0,Twitter for Android,"@ManonAubryFr Oui les sociétés d'autoroute profitent un peu trop, mais si c'était une société nationale style SNCF,… https://t.co/WBVTryuk3T"
37,SayPapaReil,2023-02-01 14:53:01+00:00,0,Twitter for Android,"RT @BFMTV: 🔴 EN DIRECT
Élisabeth Borne fustige les oppositions qui ""n'ont rien à proposer"" et sont dans ""le déni"" https://t.co/B4DMq89JZ7 h…"
38,Kyle S.,2023-02-01 14:52:52+00:00,0,Twitter for Android,"RT @BFMTV: 🔴 EN DIRECT
Retraites: 1,272 million de manifestants en France, selon la police
https://t.co/jtIBoeOPk3 https://t.co/UylyZrcWXr"
39,💙 D E A R E S T ✨️ INDIGO 🩵,2023-02-01 14:52:35+00:00,0,Twitter for Android,"RT @OnWarlord: @ChrisGames_ Pour ceux qui ont pas la réf :
https://t.co/0jtD3KRWtH"
40,LabProno,2023-02-01 14:52:28+00:00,0,Twitter Web App,@Eugenieakanini @SNCFVoyageurs @GroupeSNCF @TGVINOUI Fuck la sncf ces chiens la
41,💙 D E A R E S T ✨️ INDIGO 🩵,2023-02-01 14:52:26+00:00,0,Twitter for Android,RT @OnWarlord: @ChrisGames_ Vous avez vérifié sous le train ? Non parce que la SNCF quand y'as un être vivant sur les rails ils continuent…
42,Daniel pilotte de la Barolliere 🌿❣️🇮🇹 🇮🇱 🇵🇱,2023-02-01 14:52:15+00:00,0,Twitter for Android,"RT @BFMTV: 🔴 EN DIRECT
Retraites: 1,272 million de manifestants en France, selon la police
https://t.co/jtIBoeOPk3 https://t.co/UylyZrcWXr"
43,Ligne P,2023-02-01 14:51:46+00:00,1,Twitter Web App,"🚧Rappel Travaux #LigneP  3/3 
🗓️ Dimanche 5 février soirée
❌Trafic interrompu entre #ParisEst et #Meaux 

📱Plus d'i… https://t.co/cGKe5xJE1A"
44,Ligne P,2023-02-01 14:51:45+00:00,0,Twitter Web App,"🚧Rappel Travaux #LigneP  2/3 
🗓️ Dimanche 5 février journée
❌Trafic interrompu entre #Meaux et #ChateauThierry

⬇️ https://t.co/30kKOfzE7g"
45,Ligne P,2023-02-01 14:51:44+00:00,0,Twitter Web App,"🚧Rappel Travaux #LigneP  1/3 
🗓️ Samedi 4 février journée
❌Trafic interrompu entre #ParisEst et #Meaux  /… https://t.co/JHwdYn5mBO"
46,Bruno Fornaciari,2023-02-01 14:51:30+00:00,0,Twitter for iPhone,"RT @BFMTV: 🔴 EN DIRECT 
Pour Fabien Roussel, ""le gouvernement et le président de la République sont irresponsables""
https://t.co/zyDN5VgxKA…"
47,christine Périssé #AvecMacron,2023-02-01 14:51:05+00:00,0,Twitter Web App,"RT @BFMTV: 🔴 EN DIRECT
Gabriel Attal aux syndicats: ""si vous continuez à vous mobiliser, continuez à le faire en respectant les Français qu…"
48,c@oe,2023-02-01 14:51:04+00:00,0,Twitter for iPhone,#SNCF #jamaiscasepassebienavecvous #jevousdeteste https://t.co/rAtFhwogpu
49,Brigitte Collet,2023-02-01 14:50:57+00:00,0,Twitter for iPhone,"RT @BFMTV: 🔴 EN DIRECT
Gabriel Attal aux syndicats: ""si vous continuez à vous mobiliser, continuez à le faire en respectant les Français qu…"
50,Au clair de la lune…,2023-02-01 14:50:48+00:00,0,Twitter for iPhone,"RT @BFMTV: 🔴 EN DIRECT
Retraites: Olivier Dussopt affirme que ""le scénario du retrait"" de la réforme entraînerait le recul de la pension de…"
51,Lallement Sébastien,2023-02-01 14:50:44+00:00,0,Twitter Web App,RT @xXGorkXx: J'attends les explications de la SNCF pour ce retard ... https://t.co/FbtuLnI30h
52,jb,2023-02-01 14:50:16+00:00,0,Twitter Web App,"@lio_train_sncf ok, mais il n'apparait pas sur sncf connect ou lio train, ni sur mon application..."
53,Nathalie DUGAST-SARR,2023-02-01 14:50:06+00:00,1,Twitter for iPhone,@RERD_SNCF Merci Anna ! Bonne soirée 😃
54,quibus 🐢🇫🇷🇨🇦✌🏼,2023-02-01 14:49:59+00:00,0,Twitter for iPhone,RT @fredericrahan: @RafikSmati Curieusement je préfère financer les retraites des agents de la SNCF que le train de vie des milliardaires.
